pmid,title,authors,affiliations,journal,pub_date,doi,citations,keywords,abstract
37316654,A pangenome reference of 36 Chinese populations.,Gao Yang; Yang Xiaofei; Chen Hao; Tan Xinjiang; Yang Zhaoqing; Deng Lian; Wang Baonan; Kong Shuang; Li Songyang; Cui Yuhang; Lei Chang; Wang Yimin; Pan Yuwen; Ma Sen; Sun Hao; Zhao Xiaohan; Shi Yingbing; Yang Ziyi; Wu Dongdong; Wu Shaoyuan; Zhao Xingming; Shi Binyin; Jin Li; Hu Zhibin; Chinese Pangenome Consortium (CPC); Lu Yan; Chu Jiayou; Ye Kai; Xu Shuhua,"State Key Laboratory of Genetic Engineering, Human Phenome Institute, Zhangjiang Fudan International Innovation Center, Center for Evolutionary Biology, School of Life Sciences, Fudan University, Shanghai, China.; Ministry of Education Key Laboratory of Contemporary Anthropology, Collaborative Innovation Center for Genetics and Development, Fudan University, Shanghai, China.; Key Laboratory of Computational Biology, Shanghai Institute of Nutrition and Health, University of Chinese Academy of Sciences, Chinese Academy of Sciences, Shanghai, China.; School of Life Science and Technology, ShanghaiTech University, Shanghai, China.; School of Computer Science and Technology, Faculty of Electronic and Information Engineering, Xi'an Jiaotong University, Xi'an, China.; MOE Key Lab for Intelligent Networks & Networks Security, Faculty of Electronic and Information Engineering, Xi'an Jiaotong University, Xi'an, China.; Genome Institute, The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China.; Department of Medical Genetics, Institute of Medical Biology, Chinese Academy of Medical Sciences, Kunming, China.; State Key Laboratory of Genetic Resources and Evolution, Kunming Institute of Zoology, Chinese Academy of Sciences, Kunming, China.; Jiangsu Key Laboratory of Phylogenomics & Comparative Genomics, International Joint Center of Genomics of Jiangsu Province School of Life Sciences, Jiangsu Normal University, Xuzhou, China.; Institute of Science and Technology for Brain-Inspired Intelligence, Ministry of Education Key (MOE) Laboratory of Computational Neuroscience and Brain-Inspired Intelligence, MOE Frontiers Center for Brain Science Fudan University, Shanghai, China.; Department of Endocrinology, The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China.; State Key Laboratory of Reproductive Medicine, Nanjing Medical University, Nanjing, China.; Jiangsu Key Lab of Cancer Biomarkers, Prevention and Treatment, Collaborative Innovation Center for Cancer Personalized Medicine, Center for Global Health, School of Public Health, Nanjing Medical University, Nanjing, China.; State Key Laboratory of Genetic Engineering, Human Phenome Institute, Zhangjiang Fudan International Innovation Center, Center for Evolutionary Biology, School of Life Sciences, Fudan University, Shanghai, China. lueyan@fudan.edu.cn.; Department of Medical Genetics, Institute of Medical Biology, Chinese Academy of Medical Sciences, Kunming, China. chujy@imbcams.com.cn.; MOE Key Lab for Intelligent Networks & Networks Security, Faculty of Electronic and Information Engineering, Xi'an Jiaotong University, Xi'an, China. kaiye@xjtu.edu.cn.; School of Automation Science and Engineering, Faculty of Electronic and Information Engineering, Xi'an Jiaotong University, Xi'an, China. kaiye@xjtu.edu.cn.; School of Life Science and Technology, Xi'an Jiaotong University, Xi'an, China. kaiye@xjtu.edu.cn.; State Key Laboratory of Genetic Engineering, Human Phenome Institute, Zhangjiang Fudan International Innovation Center, Center for Evolutionary Biology, School of Life Sciences, Fudan University, Shanghai, China. xushua@fudan.edu.cn.; Ministry of Education Key Laboratory of Contemporary Anthropology, Collaborative Innovation Center for Genetics and Development, Fudan University, Shanghai, China. xushua@fudan.edu.cn.; School of Life Science and Technology, ShanghaiTech University, Shanghai, China. xushua@fudan.edu.cn.; Jiangsu Key Laboratory of Phylogenomics & Comparative Genomics, International Joint Center of Genomics of Jiangsu Province School of Life Sciences, Jiangsu Normal University, Xuzhou, China. xushua@fudan.edu.cn.; Department of Liver Surgery and Transplantation Liver Cancer Institute, Zhongshan Hospital, Fudan University, Shanghai, China. xushua@fudan.edu.cn.; Center for Excellence in Animal Evolution and Genetics, Chinese Academy of Sciences, Kunming, China. xushua@fudan.edu.cn.",Nature,2023-06-15,10.1038/s41586-023-06173-7,0,,"Human genomics is witnessing an ongoing paradigm shift from a single reference sequence to a pangenome form, but populations of Asian ancestry are underrepresented. Here we present data from the first phase of the Chinese Pangenome Consortium, including a collection of 116 high-quality and haplotype-phased de novo assemblies based on 58 core samples representing 36 minority Chinese ethnic groups. With an average 30.65× high-fidelity long-read sequence coverage, an average contiguity N50 of more than 35.63 megabases and an average total size of 3.01 gigabases, the CPC core assemblies add 189 million base pairs of euchromatic polymorphic sequences and 1,367 protein-coding gene duplications to GRCh38. We identified 15.9 million small variants and 78,072 structural variants, of which 5.9 million small variants and 34,223 structural variants were not reported in a recently released pangenome reference1. The Chinese Pangenome Consortium data demonstrate a remarkable increase in the discovery of novel and missing sequences when individuals are included from underrepresented minority ethnic groups. The missing reference sequences were enriched with archaic-derived alleles and genes that confer essential functions related to keratinization, response to ultraviolet radiation, DNA repair, immunological responses and lifespan, implying great potential for shedding new light on human evolution and recovering missing heritability in complex disease mapping."
37165083,Pangenome graph construction from genome alignments with Minigraph-Cactus.,Hickey Glenn; Monlong Jean; Ebler Jana; Novak Adam M; Eizenga Jordan M; Gao Yan; Human Pangenome Reference Consortium; Marschall Tobias; Li Heng; Paten Benedict,"UC Santa Cruz Genomics Institute, University of California, Santa Cruz, Santa Cruz, CA, USA. glenn.hickey@gmail.com.; UC Santa Cruz Genomics Institute, University of California, Santa Cruz, Santa Cruz, CA, USA.; Institute for Medical Biometry and Bioinformatics, Medical Faculty, Heinrich Heine University Düsseldorf, Düsseldorf, Germany.; Center for Digital Medicine, Heinrich Heine University Düsseldorf, Düsseldorf, Germany.; Center for Computational and Genomic Medicine, The Children's Hospital of Philadelphia, Philadelphia, PA, USA.; Department of Data Sciences, Dana-Farber Cancer Institute, Boston, MA, USA.; Department of Biomedical Informatics, Harvard Medical School, Boston, MA, USA.; UC Santa Cruz Genomics Institute, University of California, Santa Cruz, Santa Cruz, CA, USA. bpaten@ucsc.edu.",Nature biotechnology,2023-05-11,10.1038/s41587-023-01793-w,0,,"Pangenome references address biases of reference genomes by storing a representative set of diverse haplotypes and their alignment, usually as a graph. Alternate alleles determined by variant callers can be used to construct pangenome graphs, but advances in long-read sequencing are leading to widely available, high-quality phased assemblies. Constructing a pangenome graph directly from assemblies, as opposed to variant calls, leverages the graph's ability to represent variation at different scales. Here we present the Minigraph-Cactus pangenome pipeline, which creates pangenomes directly from whole-genome alignments, and demonstrate its ability to scale to 90 human haplotypes from the Human Pangenome Reference Consortium. The method builds graphs containing all forms of genetic variation while allowing use of current mapping and genotyping tools. We measure the effect of the quality and completeness of reference genomes used for analysis within the pangenomes and show that using the CHM13 reference from the Telomere-to-Telomere Consortium improves the accuracy of our methods. We also demonstrate construction of a Drosophila melanogaster pangenome."
37291196,A graph-based genome and pan-genome variation of the model plant Setaria.,He Qiang; Tang Sha; Zhi Hui; Chen Jinfeng; Zhang Jun; Liang Hongkai; Alam Ornob; Li Hongbo; Zhang Hui; Xing Lihe; Li Xukai; Zhang Wei; Wang Hailong; Shi Junpeng; Du Huilong; Wu Hongpo; Wang Liwei; Yang Ping; Xing Lu; Yan Hongshan; Song Zhongqiang; Liu Jinrong; Wang Haigang; Tian Xiang; Qiao Zhijun; Feng Guojun; Guo Ruifeng; Zhu Wenjuan; Ren Yuemei; Hao Hongbo; Li Mingzhe; Zhang Aiying; Guo Erhu; Yan Feng; Li Qingquan; Liu Yanli; Tian Bohong; Zhao Xiaoqin; Jia Ruiling; Feng Baili; Zhang Jiewei; Wei Jianhua; Lai Jinsheng; Jia Guanqing; Purugganan Michael; Diao Xianmin,"Institute of Crop Sciences, Chinese Academy of Agricultural Sciences, Beijing, China.; State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China.; Center for Genomics and Systems Biology, New York University, New York City, NY, USA.; Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Genome Analysis Laboratory of the Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen, China.; College of Agronomy, Northwest A & F University, Yangling, China.; College of Life Sciences, Shanxi Agricultural University, Taigu, China.; State Key Laboratory of Plant Physiology and Biochemistry & National Maize Improvement Center, Department of Plant Genetics and Breeding, China Agricultural University, Beijing, China.; School of Life Sciences, Institute of Life Sciences and Green Development, Hebei University, Baoding, China.; Anyang Academy of Agriculture Sciences, Anyang, China.; Center for Agricultural Genetic Resources Research, Shanxi Agricultural University, Taiyuan, China.; Research Institute of Cereal Crops, Xinjiang Academy of Agricultural Sciences, Urumqi, China.; Institute of High Latitude Crops, Shanxi Agricultural University, Datong, China.; Institute of Dry-Land Farming, Hebei Academy of Agricultural and Forestry Sciences, Hengshui, China.; Millet Research Institute, Shanxi Agricultural University, Changzhi, China.; Qiqihar Sub-Academy of Heilongjiang Academy of Agricultural Sciences, Qiqihar, China.; Cangzhou Academy of Agriculture and Forestry Sciences, Cangzhou, China.; Dingxi Academy of Agricultural Sciences, Dingxi, China.; Beijing Key Laboratory of Agricultural Genetic Resources and Biotechnology, Beijing Academy of Agriculture and Forestry Sciences, Beijing, China.; Institute of Crop Sciences, Chinese Academy of Agricultural Sciences, Beijing, China. jiaguanqing@caas.cn.; Center for Genomics and Systems Biology, New York University, New York City, NY, USA. mp132@nyu.edu.; Center for Genomics and Systems Biology, New York University Abu Dhabi, Abu Dhabi, United Arab Emirates. mp132@nyu.edu.; Institute of Crop Sciences, Chinese Academy of Agricultural Sciences, Beijing, China. diaoxianmin@caas.cn.",Nature genetics,2023-06-09,10.1038/s41588-023-01423-w,0,,"Setaria italica (foxtail millet), a founder crop of East Asian agriculture, is a model plant for C4 photosynthesis and developing approaches to adaptive breeding across multiple climates. Here we established the Setaria pan-genome by assembling 110 representative genomes from a worldwide collection. The pan-genome is composed of 73,528 gene families, of which 23.8%, 42.9%, 29.4% and 3.9% are core, soft core, dispensable and private genes, respectively; 202,884 nonredundant structural variants were also detected. The characterization of pan-genomic variants suggests their importance during foxtail millet domestication and improvement, as exemplified by the identification of the yield gene SiGW3, where a 366-bp presence/absence promoter variant accompanies gene expression variation. We developed a graph-based genome and performed large-scale genetic studies for 68 traits across 13 environments, identifying potential genes for millet improvement at different geographic sites. These can be used in marker-assisted breeding, genomic selection and genome editing to accelerate crop improvement under different climatic conditions."
38663087,Beyond the Human Genome Project: The Age of Complete Human Genome Sequences and Pangenome References.,Taylor Dylan J; Eizenga Jordan M; Li Qiuhui; Das Arun; Jenike Katharine M; Kenny Eimear E; Miga Karen H; Monlong Jean; McCoy Rajiv C; Paten Benedict; Schatz Michael C,"Department of Biology, Johns Hopkins University, Baltimore, Maryland, USA; email: dtaylo95@jhu.edu, rajiv.mccoy@jhu.edu, mschatz@cs.jhu.edu.; Genomics Institute, University of California, Santa Cruz, California, USA; email: jeizenga@ucsc.edu, khmiga@ucsc.edu, bpaten@ucsc.edu.; Department of Computer Science, Johns Hopkins University, Baltimore, Maryland, USA; email: qli111@jh.edu, arun.das@jhu.edu.; Department of Genetic Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA; email: kjenike1@jh.edu.; Institute for Genomic Health, Icahn School of Medicine at Mount Sinai, New York, NY, USA; email: eimear.kenny@mssm.edu.; Department of Biomolecular Engineering, University of California, Santa Cruz, California, USA.; Institut de Recherche en Santé Digestive, Université de Toulouse, INSERM, INRA, ENVT, UPS, Toulouse, France; email: jean.monlong@inserm.fr.",Annual review of genomics and human genetics,2024-04-26,10.1146/annurev-genom-021623-081639,0,telomere-to-telomere; precision medicine; reference genome sequence; genetic diversity; pangenome,"The Human Genome Project was an enormous accomplishment, providing a foundation for countless explorations into the genetics and genomics of the human species. Yet for many years, the human genome reference sequence remained incomplete and lacked representation of human genetic diversity. Recently, two major advances have emerged to address these shortcomings: complete gap-free human genome sequences, such as the one developed by the Telomere-to-Telomere Consortium, and high-quality pangenomes, such as the one developed by the Human Pangenome Reference Consortium. Facilitated by advances in long-read DNA sequencing and genome assembly algorithms, complete human genome sequences resolve regions that have been historically difficult to sequence, including centromeres, telomeres, and segmental duplications. In parallel, pangenomes capture the extensive genetic diversity across populations worldwide. Together, these advances usher in a new era of genomics research, enhancing the accuracy of genomic analysis, paving the path for precision medicine, and contributing to deeper insights into human biology."
37227251,Challenges in prokaryote pangenomics.,Tonkin-Hill Gerry; Corander Jukka; Parkhill Julian,"Department of Biostatistics, University of Oslo, Blindern, Norway.; Parasites and Microbes, Wellcome Sanger Institute, Cambridge, UK.; Helsinki Institute for Information Technology HIIT, Department of Mathematics and Statistics, University of Helsinki, Helsinki, Finland.; Department of Veterinary Medicine, University of Cambridge, Cambridge, UK.",Microbial genomics,2023-05-25,10.1099/mgen.0.001021,0,gene annotation; pangenome; horizontal gene transfer; bacteria,"Horizontal gene transfer (HGT) and the resulting patterns of gene gain and loss are a fundamental part of bacterial evolution. Investigating these patterns can help us to understand the role of selection in the evolution of bacterial pangenomes and how bacteria adapt to a new niche. Predicting the presence or absence of genes can be a highly error-prone process that can confound efforts to understand the dynamics of horizontal gene transfer. This review discusses both the challenges in accurately constructing a pangenome and the potential consequences errors can have on downstream analyses. We hope that by summarizing these issues researchers will be able to avoid potential pitfalls, leading to improved bacterial pangenome analyses."
38486452,The super-pangenome of Populus unveils genomic facets for its adaptation and diversification in widespread forest trees.,Shi Tingting; Zhang Xinxin; Hou Yukang; Jia Changfu; Dan Xuming; Zhang Yulin; Jiang Yuanzhong; Lai Qiang; Feng Jiajun; Feng Jianju; Ma Tao; Wu Jiali; Liu Shuyu; Zhang Lei; Long Zhiqin; Chen Liyang; Street Nathaniel R; Ingvarsson Pär K; Liu Jianquan; Yin Tongming; Wang Jing,"Key Laboratory for Bio-Resources and Eco-Environment of Ministry of Education, College of Life Sciences, Sichuan University, Chengdu, Sichuan, China.; College of Horticulture and Forestry, Tarim University, Alar 843300, China.; Umeå Plant Science Centre, Department of Plant Physiology, Umeå University, Umeå, Västerbotten, Sweden.; Linnean Centre for Plant Biology, Department of Plant Biology, Uppsala BioCenter, Swedish University of Agricultural Sciences, Uppsala, Sweden.; Key Laboratory for Bio-Resources and Eco-Environment of Ministry of Education, College of Life Sciences, Sichuan University, Chengdu, Sichuan, China. Electronic address: liujq@nwipb.cas.cn.; The Key Laboratory of Tree Genetics and Biotechnology of Jiangsu Province and Education Department of China, Nanjing Forestry University, Nanjing, Jiangsu, China. Electronic address: tmyin@njfu.com.cn.; Key Laboratory for Bio-Resources and Eco-Environment of Ministry of Education, College of Life Sciences, Sichuan University, Chengdu, Sichuan, China. Electronic address: wangjing2019@scu.edu.cn.",Molecular plant,2024-03-15,10.1016/j.molp.2024.03.009,0,pangenomes; structural variation; whole-genome duplication; genome evolution; Populus,"Understanding the underlying mechanisms and links between genome evolution and adaptive innovations stands as a key goal in evolutionary studies. Poplars, among the world's most widely distributed and cultivated trees, exhibit extensive phenotypic diversity and environmental adaptability. In this study, we present a genus-level super-pangenome comprising 19 Populus genomes, revealing the likely pivotal role of private genes in facilitating local environmental and climate adaptation. Through the integration of pangenomes with transcriptomes, methylomes, and chromatin accessibility mapping, we unveil that the evolutionary trajectories of pangenes and duplicated genes are closely linked to local genomic landscapes of regulatory and epigenetic architectures, notably CG methylation in gene-body regions. Further comparative genomic analyses have enabled the identification of 142 202 structural variants across species that intersect with a significant number of genes and contribute substantially to both phenotypic and adaptive divergence. We have experimentally validated a ∼180-bp presence/absence variant affecting the expression of the CUC2 gene, crucial for leaf serration formation. Finally, we developed a user-friendly web-based tool encompassing the multi-omics resources associated with the Populus super-pangenome (http://www.populus-superpangenome.com). Together, the present pioneering super-pangenome resource in forest trees not only aids in the advancement of breeding efforts of this globally important tree genus but also offers valuable insights into potential avenues for comprehending tree biology."
38168361,Personalized Pangenome References.,Sirén Jouni; Eskandar Parsa; Ungaro Matteo Tommaso; Hickey Glenn; Eizenga Jordan M; Novak Adam M; Chang Xian; Chang Pi-Chuan; Kolmogorov Mikhail; Carroll Andrew; Monlong Jean; Paten Benedict,"UC Santa Cruz Genomics Institute, University of California, Santa Cruz, 1156 High Street, Santa Cruz, CA 95064, USA.; University of Ferrara, Ferrara, via Fossato di Mortara 27, Ferrara, FE 44121, Italy.; Google LLC, 1600 Amphitheater Pkwy, Mountain View, CA 94043, USA.; Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA.; Institut de Recherche en Santé Digestive, Université de Toulouse, INSERM, INRA, ENVT, UPS, Toulouse, France.",bioRxiv : the preprint server for biology,2024-01-04,10.1101/2023.12.13.571553,0,,"Pangenomes, by including genetic diversity, should reduce reference bias by better representing new samples compared to them. Yet when comparing a new sample to a pangenome, variants in the pangenome that are not part of the sample can be misleading, for example, causing false read mappings. These irrelevant variants are generally rarer in terms of allele frequency, and have previously been dealt with using allele frequency filters. However, this is a blunt heuristic that both fails to remove some irrelevant variants and removes many relevant variants. We propose a new approach, inspired by local ancestry inference methods, that imputes a personalized pangenome subgraph based on sampling local haplotypes according to k-mer counts in the reads. Our approach is tailored for the Giraffe short read aligner, as the indexes it needs for read mapping can be built quickly. We compare the accuracy of our approach to state-of-the-art methods using graphs from the Human Pangenome Reference Consortium. The resulting personalized pangenome pipelines provide faster pangenome read mapping than comparable pipelines that use a linear reference, reduce small variant genotyping errors by 4x relative to the Genome Analysis Toolkit (GATK) best-practice pipeline, and for the first time make short-read structural variant genotyping competitive with long-read discovery methods."
37066137,Building pangenome graphs.,Garrison Erik; Guarracino Andrea; Heumos Simon; Villani Flavia; Bao Zhigui; Tattini Lorenzo; Hagmann Jörg; Vorbrugg Sebastian; Marco-Sola Santiago; Kubica Christian; Ashbrook David G; Thorell Kaisa; Rusholme-Pilcher Rachel L; Liti Gianni; Rudbeck Emilio; Nahnsen Sven; Yang Zuyu; Mwaniki Moses Njagi; Nobrega Franklin L; Wu Yi; Chen Hao; de Ligt Joep; Sudmant Peter H; Soranzo Nicole; Colonna Vincenza; Williams Robert W; Prins Pjotr,,bioRxiv : the preprint server for biology,2023-04-18,10.1101/2023.04.05.535718,0,,"Pangenome graphs can represent all variation between multiple reference genomes, but current approaches to build them exclude complex sequences or are based upon a single reference. In response, we developed the PanGenome Graph Builder (PGGB), a pipeline for constructing pangenome graphs without bias or exclusion. PGGB uses all-to-all alignments to build a variation graph in which we can identify variation, measure conservation, detect recombination events, and infer phylogenetic relationships."
39261641,Personalized pangenome references.,Sirén Jouni; Eskandar Parsa; Ungaro Matteo Tommaso; Hickey Glenn; Eizenga Jordan M; Novak Adam M; Chang Xian; Chang Pi-Chuan; Kolmogorov Mikhail; Carroll Andrew; Monlong Jean; Paten Benedict,"UC Santa Cruz Genomics Institute, University of California, Santa Cruz, CA, USA. jlsiren@ucsc.edu.; UC Santa Cruz Genomics Institute, University of California, Santa Cruz, CA, USA.; University of Ferrara, Ferrara, Italy.; Google LLC, Mountain View, CA, USA.; Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA.; Institut de Recherche en Santé Digestive, Université de Toulouse, INSERM, INRA, ENVT, UPS, Toulouse, France.; UC Santa Cruz Genomics Institute, University of California, Santa Cruz, CA, USA. bpaten@ucsc.edu.",Nature methods,2024-09-12,10.1038/s41592-024-02407-2,0,,"Pangenomes reduce reference bias by representing genetic diversity better than a single reference sequence. Yet when comparing a sample to a pangenome, variants in the pangenome that are not part of the sample can be misleading, for example, causing false read mappings. These irrelevant variants are generally rarer in terms of allele frequency, and have previously been dealt with by filtering rare variants. However, this blunt heuristic both fails to remove some irrelevant variants and removes many relevant variants. We propose a new approach that imputes a personalized pangenome subgraph by sampling local haplotypes according to k-mer counts in the reads. We implement the approach in the vg toolkit ( https://github.com/vgteam/vg ) for the Giraffe short-read aligner and compare its accuracy to state-of-the-art methods using human pangenome graphs from the Human Pangenome Reference Consortium. This reduces small variant genotyping errors by four times relative to the Genome Analysis Toolkit and makes short-read structural variant genotyping of known variants competitive with long-read variant discovery methods."
39779953,Pangenome graphs and their applications in biodiversity genomics.,Secomandi Simona; Gallo Guido Roberto; Rossi Riccardo; Rodríguez Fernandes Carlos; Jarvis Erich D; Bonisoli-Alquati Andrea; Gianfranceschi Luca; Formenti Giulio,"Laboratory of Neurogenetics of Language, the Rockefeller University, New York, NY, USA.; Department of Biosciences, University of Milan, Milan, Italy.; Department of Biotechnology and Biosciences, University of Milano-Bicocca, Milan, Italy.; Centre for Ecology, Evolution and Environmental Changes (CE3C) and CHANGE, Global Change and Sustainability Institute, Departamento de Biologia Animal, Faculdade de Ciências, Universidade de Lisboa, Lisboa, Portugal.; Faculdade de Psicologia, Universidade de Lisboa, Lisboa, Portugal.; The Vertebrate Genome Laboratory, New York, NY, USA.; Department of Biological Sciences, California State Polytechnic University, Pomona, Pomona, CA, USA.; The Vertebrate Genome Laboratory, New York, NY, USA. gformenti@rockefeller.edu.",Nature genetics,2025-01-09,10.1038/s41588-024-02029-6,0,,"Complete datasets of genetic variants are key to biodiversity genomic studies. Long-read sequencing technologies allow the routine assembly of highly contiguous, haplotype-resolved reference genomes. However, even when complete, reference genomes from a single individual may bias downstream analyses and fail to adequately represent genetic diversity within a population or species. Pangenome graphs assembled from aligned collections of high-quality genomes can overcome representation bias by integrating sequence information from multiple genomes from the same population, species or genus into a single reference. Here, we review the available tools and data structures to build, visualize and manipulate pangenome graphs while providing practical examples and discussing their applications in biodiversity and conservation genomics across the tree of life."
